[2025-12-17T18:06:32.565302400] [main] Menu option 1 selected -  (Duration: 0ms, Success: true)
[2025-12-17T19:10:45.772124900] [main] Selected menu option 1 -  (Duration: 0ms, Success: true)
[2025-12-17T19:11:06.284300900] [main] Selected menu option 1 -  (Duration: 0ms, Success: true)
[2025-12-17T19:11:30.773576900] [main] Selected menu option 1 -  (Duration: 0ms, Success: true)
[2025-12-17T19:12:20.554552700] [main] Selected menu option 4 -  (Duration: 0ms, Success: true)
[2025-12-17T19:12:34.408574500] [main] Selected menu option 4 -  (Duration: 0ms, Success: true)
[2025-12-17T19:12:46.387786800] [main] Selected menu option 4 -  (Duration: 0ms, Success: true)
[2025-12-17T19:13:11.304984100] [main] Selected menu option 4 -  (Duration: 0ms, Success: true)
[2025-12-17T19:13:30.713960900] [main] Selected menu option 4 -  (Duration: 0ms, Success: true)
[2025-12-17T19:13:45.672377100] [main] Selected menu option 4 -  (Duration: 0ms, Success: true)
[2025-12-17T19:14:04.429319500] [main] Selected menu option 4 -  (Duration: 0ms, Success: true)
[2025-12-17T19:15:08.294289100] [main] Selected menu option 3 -  (Duration: 0ms, Success: true)
[2025-12-17T19:15:22.887401300] [main] Selected menu option 5 -  (Duration: 0ms, Success: true)
[2025-12-17T19:16:54.346393500] [main] Selected menu option 6 -  (Duration: 0ms, Success: true)
[2025-12-17T19:18:18.115165200] [main] Selected menu option 7 -  (Duration: 0ms, Success: true)
[2025-12-17T19:18:42.572627600] [main] Selected menu option 8 -  (Duration: 0ms, Success: true)
[2025-12-17T19:18:52.437495700] [main] Selected menu option 9 -  (Duration: 0ms, Success: true)
[2025-12-17T19:19:19.059938200] [main] Selected menu option 10 -  (Duration: 0ms, Success: true)
[2025-12-17T19:20:21.256264] [main] Selected menu option 11 -  (Duration: 0ms, Success: true)
[2025-12-17T19:24:45.481383800] [main] Selected menu option 12 -  (Duration: 0ms, Success: true)
[2025-12-17T19:25:07.836751400] [main] Selected menu option 12 -  (Duration: 0ms, Success: true)
[2025-12-17T19:25:15.955197500] [main] Selected menu option 12 -  (Duration: 0ms, Success: true)
[2025-12-17T19:25:29.511486900] [main] Selected menu option 13 -  (Duration: 0ms, Success: true)
[2025-12-17T19:25:44.063024] [main] Selected menu option 13 -  (Duration: 0ms, Success: true)
[2025-12-17T19:26:07.188049200] [main] Selected menu option 14 -  (Duration: 0ms, Success: true)
[2025-12-17T19:26:19.888319] [main] Selected menu option 15 -  (Duration: 0ms, Success: true)
[2025-12-17T19:26:39.378020600] [main] Selected menu option 15 -  (Duration: 0ms, Success: true)
[2025-12-17T19:29:21.250855100] [main] Selected menu option 16 -  (Duration: 0ms, Success: true)
[2025-12-17T19:29:56.303203] [main] Selected menu option 17 -  (Duration: 0ms, Success: true)
[2025-12-17T19:30:30.146138] [main] Selected menu option 18 -  (Duration: 0ms, Success: true)
[2025-12-17T19:30:44.043595500] [main] Selected menu option 18 -  (Duration: 0ms, Success: true)
[2025-12-17T19:30:55.965049400] [main] Selected menu option 18 -  (Duration: 0ms, Success: true)
[2025-12-17T19:31:24.655867100] [main] Selected menu option 18 -  (Duration: 0ms, Success: true)
[2025-12-18T15:10:20.741199300] [main] Selected menu option 1 -  (Duration: 0ms, Success: true)
[2025-12-18T15:11:00.531356100] [main] Selected menu option 5 -  (Duration: 0ms, Success: true)
[2025-12-18T15:11:56.683416800] [main] Selected menu option 12 -  (Duration: 0ms, Success: true)
[2025-12-18T15:14:33.548956300] [main] Selected menu option 7 -  (Duration: 0ms, Success: true)
[2025-12-18T15:55:37.454228900] [main] Selected menu option 1 -  (Duration: 0ms, Success: true)
[2025-12-18T15:56:14.133005700] [main] Selected menu option 7 -  (Duration: 0ms, Success: true)
